osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
way,935528572,"Jyothi Nivas Charitable Society, Psycho Social Rehabilitation centre, Vazhavatta",,rehabilitation,rehabilitation,,
way,935530574,"Anganavadi, Karingannikunn",childcare,,childcare,,
way,935686052,"Anganavadi, Ambukuthi",childcare,,childcare,,
way,935686870,"Veterinary Sub Centre, Ambukuthi",veterinary,,veterinary,,
way,935687619,"Sub Centre, Ambukuthi",,yes,yes,,
way,935691086,"Government Lower Primary School, Edapetty",school,,school,,
way,937060171,"Primary Health Center, Vazhavatta",hospital,hospital,hospital,,
way,939336774,Government Lower Primary School Cheegavalam,school,,school,,
way,940034322,ST Library Kottamkolly,library,,library,,
way,950150012,Dr. Ajith's Homeo Dispensary,,yes,yes,,
way,950165421,Kenichira Juma Masjid,place_of_worship,,place_of_worship,,
way,952076151,Hill Top Auditorium,events_venue,,events_venue,,
way,952102711,"Infant Jesus School, Kenichira",school,,school,,
way,952104319,"Family Health Center, Poothadi",hospital,hospital,hospital,,
way,952215215,The Wayanad District Co-operative Bank,bank,,bank,,
way,952217918,"Governent Veterinary Hospital , Kenichira",veterinary,,veterinary,,
way,952219723,"Police Station, Kenichira",police,,police,,
way,952219886,"Coperative Bank, Poothadi Service",bank,,bank,,
way,952222875,,shelter,,shelter,,
way,952225449,Vrindhavan Auditorium,events_venue,,events_venue,,
way,952226014,ESAF Small Finance Bank,bank,,bank,,
way,952226561,"Sree Durga Paradhevatha Kshethram, Panappadikavala",place_of_worship,,place_of_worship,,
way,952229225,Gurumandhiram,place_of_worship,,place_of_worship,,
way,958363383,St.George Malankara Church,place_of_worship,,place_of_worship,,
way,958364020,kuppakkolly mosque,place_of_worship,,place_of_worship,,
way,958366551,"St.George Orthdox Church ,Ayiramkolly",place_of_worship,,place_of_worship,,
way,958370204,Sacred Heart Church Ambalavayal,place_of_worship,,place_of_worship,,
way,958373329,"St. Martin De Pores Church, Ambalavayal",place_of_worship,,place_of_worship,,
way,958445642,"anganvadi,balavadikkavala",childcare,,childcare,,
way,958567374,Sree Mariyamman Temple,place_of_worship,,place_of_worship,,
way,958569428,Kallupadi Sree Subhramanya Temple,place_of_worship,,place_of_worship,,
way,959148252,"Kappamkunnu Anganavady,  Kunjamkode",childcare,,childcare,,
way,959162949,"Chundale Anganavady, Chundale",childcare,,childcare,,
way,959170659,"Olivumala Anganavadi, Olivumala",childcare,,childcare,,
way,960676513,NSS Higher Secondary School,school,,school,,
way,963191231,"S A Lower Primary School,Kottathara",school,,school,,
way,963197755,"Government Vocational Higher Secondary School, Karimkutty",school,,school,,
way,963343492,"Post Office , Karinkutty",post_office,,post_office,,
way,963941293,"Sub Center , Karinkutty",hospital,hospital,hospital,,
way,964008193,"Sahridhaya , Pallikkunnu",library,,library,,
way,968459273,Pallikkunnu,childcare,,childcare,,
way,968498763,Kappukolly Scheduled Tribe Community Center,community_centre,,community_facility,,
way,969593374,"Anganavadi ,Thettuvadi",childcare,,childcare,,
way,974199988,Rest House Anganwadi,childcare,,childcare,,
way,974207693,Karadippara Anganwadi,childcare,,childcare,,
way,974359283,Mankombu Anganwadi,childcare,,childcare,,
way,974374361,Padiparambu Anganwadi,childcare,,childcare,,
way,974593023,St.Peter'S And St.Paul'S English Medium Higher Secondary School,school,,school,,
way,974594703,Government veterinary Hospital Meenangadi,veterinary,,veterinary,,
way,976212231,,childcare,,childcare,,
way,976212232,Mundanadappu,childcare,,childcare,,
way,976216731,,conference_centre,,conference_centre,,
way,976572060,Veettipura Anganwady,childcare,,childcare,,
way,976574135,Palakkamoola Anganvadi,childcare,,childcare,,
